journal_issn,journal_title,snip_latest
0378-620X,Integral Equations and Operator Theory,1.03647539326377
0378-7206,Information and Management,3.09207657418229
0378-7753,Journal of Power Sources,1.54060946104852
0378-7788,Energy and Buildings,2.06879638249107
0378-7796,Electric Power Systems Research,1.34237712007886
0378-8733,Social Networks,2.01457579205538
0385-4035,Hokkaido Mathematical Journal,0.668961823398301
0386-216X,Kagaku Kogaku Ronbunshu,0.375507911431261
0386-2208,Proceedings of the Japan Academy Series B: Physical and Biological Sciences,1.65760268628568
0399-0559,RAIRO - Operations Research,1.13329998168124
0430-3202,Annali dell'Universita di Ferrara,0.918984942185443
0550-3213,Nuclear Physics B,0.920526499146438
0587-4254,Acta Physica Polonica B,0.248671914947227
0723-0869,Expositiones Mathematicae,1.18157484328928
0723-4864,Experiments in Fluids,1.51829104944213
0730-0301,ACM Transactions on Graphics,2.67606847606132
0730-725X,Magnetic Resonance Imaging,0.85631377529978
0730-7829,Music Perception,1.54558872604258
0730-9384,Politics and the Life Sciences,0.492406343099466
0731-5090,"Journal of Guidance, Control, and Dynamics",1.74576706923819
0733-8716,IEEE Journal on Selected Areas in Communications,3.55876026126946
0733-8724,Journal of Lightwave Technology,1.68939087883845
0733-9399,Journal of Engineering Mechanics - ASCE,1.17954120934641
0733-9445,Journal of Structural Engineering,1.76036353566237
0733-9496,Journal of Water Resources Planning and Management - ASCE,1.23033782672432
0734-2071,ACM Transactions on Computer Systems,1.9960788619443
0735-6331,Journal of Educational Computing Research,1.88928150374009
0736-0266,Journal of Orthopaedic Research,1.31528952553753
0736-2994,Stochastic Analysis and Applications,1.03847146044121
0736-5845,Robotics and Computer-Integrated Manufacturing,3.36521079302645
0736-5853,Telematics and Informatics,3.06668518862865
0737-8831,Library Hi Tech,1.18307432628313
0738-4602,AI Magazine,1.64534341649958
0740-3194,Magnetic Resonance in Medicine,1.34720988012134
0740-3224,Journal of the Optical Society of America B: Optical Physics,0.759289719689584
0740-7459,IEEE Software,1.89658382850047
0741-3106,IEEE Electron Device Letters,1.64922493676723
0743-7315,Journal of Parallel and Distributed Computing,1.6332912339512
0743-7463,Langmuir,0.97776390677128
0747-5632,Computers in Human Behavior,3.23371058075291
0747-7171,Journal of Symbolic Computation,1.57044946062688
0748-8017,Quality and Reliability Engineering International,1.51083175342474
0749-159X,Numerical Methods for Partial Differential Equations,1.1192786064238
0764-583X,ESAIM: Mathematical Modelling and Numerical Analysis,1.26428628004795
0765-0019,Traitement du Signal,0.942905528156713
0824-7935,Computational Intelligence,1.00381499202474
0883-4237,Statistical Science,1.64571486662255
0883-9514,Applied Artificial Intelligence,1.03118383706001
0884-8173,International Journal of Intelligent Systems,1.91164642608202
0885-064X,Journal of Complexity,1.20700490647482
0885-2308,Computer Speech and Language,1.66741307411081
0885-3010,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",1.6555824214707
0885-6125,Machine Learning,2.34798533069609
0885-7458,International Journal of Parallel Programming,0.810837791925331
0885-7474,Journal of Scientific Computing,1.35257079346586
0885-8950,IEEE Transactions on Power Systems,2.6944645526547
0885-8969,IEEE Transactions on Energy Conversion,2.03316932794789
0885-8977,IEEE Transactions on Power Delivery,2.47475268192659
0885-8985,IEEE Aerospace and Electronic Systems Magazine,1.20123635784483
0885-8993,IEEE Transactions on Power Electronics,2.77681619263419
0887-3585,"Proteins: Structure, Function and Bioinformatics",1.02991920565256
0887-3801,Journal of Computing in Civil Engineering,1.82478167852095
0888-3270,Mechanical Systems and Signal Processing,3.23424069008397
0888-5885,Industrial & Engineering Chemistry Research,0.970890248040909
0888-613X,International Journal of Approximate Reasoning,1.7148610719525
0888-7543,Genomics,1.02637572868227
0889-8480,Mathematical Population Studies,1.04815373376009
0889-9746,Journal of Fluids and Structures,1.65669819352656
0890-0604,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",0.823878371738639
0890-5401,Information and Computation,1.06314404261216
0890-6327,International Journal of Adaptive Control and Signal Processing,0.915863328420526
0890-8044,IEEE Network,3.14908814623098
0891-2017,Computational Linguistics,2.67935357083137
0891-2513,Complex Systems,0.32851031174133
0892-6638,FASEB Journal,1.10357309424564
0892-9912,Journal of Technology Transfer,2.50882933969116
0893-133X,Neuropsychopharmacology,2.01014805952362
0893-6080,Neural Networks,2.80771769401138
0893-9659,Applied Mathematics Letters,1.66539181478426
0894-0347,Journal of the American Mathematical Society,4.57356726666363
0894-3370,"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",0.596091457776301
0894-6507,IEEE Transactions on Semiconductor Manufacturing,1.42904393907179
0894-9840,Journal of Theoretical Probability,0.939991820225431
0895-4356,Journal of Clinical Epidemiology,2.50080403977785
0895-4798,SIAM Journal on Matrix Analysis and Applications,1.71679734121022
0895-4801,SIAM Journal on Discrete Mathematics,1.21497037733674
0895-6111,Computerized Medical Imaging and Graphics,2.03255551923627
0897-1889,Journal of Digital Imaging,1.62073598326678
0897-3962,Journal of Integral Equations and Applications,0.6740945164627
0897-7151,Journal of Neurotrauma,1.50788318516397
0898-1221,Computers and Mathematics with Applications,1.31226126882653
0899-7667,Neural Computation,1.90381884120403
0899-8256,Games and Economic Behavior,1.19136108283391
0899-9457,International Journal of Imaging Systems and Technology,0.916712038189197
0911-0119,Graphs and Combinatorics,0.832554824209616
0916-7005,Japan Journal of Industrial and Applied Mathematics,0.622517830635163
0916-8508,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",0.326600206681172
0916-8516,IEICE Transactions on Communications,0.415666487982163
0916-8532,IEICE Transactions on Information and Systems,0.418041236154992
0920-4105,Journal of Petroleum Science and Engineering,1.70412139328283
0920-5489,Computer Standards and Interfaces,1.88986412026384
0920-5691,International Journal of Computer Vision,4.16799937630164
0920-654X,Journal of Computer-Aided Molecular Design,0.942888489786703
0920-8542,Journal of Supercomputing,1.15794697365647
0921-0296,Journal of Intelligent and Robotic Systems: Theory and Applications,1.36459862608055
0921-4526,Physica B: Condensed Matter,0.766518395117183
0921-8890,Robotics and Autonomous Systems,1.68362326507338
0922-6435,Experimental Astronomy,0.967247587678968
0922-6443,Real-Time Systems,1.34679881327015
0922-6567,Machine Translation,1.14204580144829
0923-2958,Celestial Mechanics and Dynamical Astronomy,1.42314838221404
0923-4748,Journal of Engineering and Technology Management - JET-M,1.94901052538466
0923-5965,Signal Processing: Image Communication,1.30171068042287
0923-6082,Multidimensional Systems and Signal Processing,0.743421424650192
0924-0136,Journal of Materials Processing Technology,2.16777348282626
0924-090X,Nonlinear Dynamics,1.64540466397783
0924-1868,User Modeling and User-Adapted Interaction,3.18789424047203
0924-2244,Trends in Food Science and Technology,3.68368821079195
0924-2716,ISPRS Journal of Photogrammetry and Remote Sensing,2.92718120301489
0924-6495,Minds and Machines,3.25052385904475
0924-669X,Applied Intelligence,1.72890694092875
0924-6703,Discrete Event Dynamic Systems: Theory and Applications,1.09044377972199
0924-8463,Artificial Intelligence and Law,3.43894401150772
0924-9907,Journal of Mathematical Imaging and Vision,1.18912134190428
0925-1022,"Designs, Codes, and Cryptography",1.53316526186007
0925-1030,Analog Integrated Circuits and Signal Processing,0.723412534226752
0925-2312,Neurocomputing,1.8502440002545
0925-4005,Sensors and Actuators B: Chemical,1.34029494316522
0925-5001,Journal of Global Optimization,1.53501227605733
0925-7721,Computational Geometry: Theory and Applications,0.930633091771587
0925-8531,"Journal of Logic, Language and Information",1.19478866714502
0925-9724,Computer Supported Cooperative Work,1.36513582548344
0925-9856,Formal Methods in System Design,1.27351294344916
0925-9899,Journal of Algebraic Combinatorics,1.27177180217548
0925-9902,Journal of Intelligent Information Systems,1.68124287067748
0926-2644,Group Decision and Negotiation,1.04246156323832
0926-5805,Automation in Construction,3.16695537303264
0926-6003,Computational Optimization and Applications,1.45206196556106
0927-0256,Computational Materials Science,1.07802403756269
0927-2852,Applied Categorical Structures,1.15942310392344
0927-7099,Computational Economics,1.01487438734111
0928-7329,Technology and Health Care,0.537440399814038
0928-8910,Automated Software Engineering,1.40078479856844
0929-5313,Journal of Computational Neuroscience,0.749067376211954
0929-5593,Autonomous Robots,1.76991520758446
0929-6174,Journal of Quantitative Linguistics,1.07361807739943
0929-6212,Wireless Personal Communications,0.872973749348666
0929-8215,Journal of New Music Research,0.941522146510533
0929-8673,Current Medicinal Chemistry,1.04938539791157
0932-4194,"Mathematics of Control, Signals, and Systems",1.40828967856338
0932-8092,Machine Vision and Applications,1.04543288582453
0933-1875,KI - Kunstliche Intelligenz,1.12779238233615
0933-2790,Journal of Cryptology,1.9074982193991
0933-3657,Artificial Intelligence in Medicine,2.23997428289175
0933-5846,Archive for Mathematical Logic,0.895875053441959
0934-5043,Formal Aspects of Computing,1.19147667811456
0935-1175,Continuum Mechanics and Thermodynamics,1.30854996082412
0935-4964,Theoretical and Computational Fluid Dynamics,1.11722282562782
0936-7195,GAMM Mitteilungen,0.982381150397275
0937-7255,Ship Technology Research,1.67328126796987
0938-1279,"Applicable Algebra in Engineering, Communications and Computing",0.804342349861102
0938-2259,Economic Theory,1.67023419511776
0938-8974,Journal of Nonlinear Science,1.65273973761425
0939-1533,Archive of Applied Mechanics,1.1018857152254
0939-3889,Zeitschrift fur Medizinische Physik,1.65889389173441
0941-0643,Neural Computing and Applications,1.65312254187687
0942-4962,Multimedia Systems,1.11537439140257
0942-5616,Mathematical Logic Quarterly,0.668636991706085
0943-4062,Computational Statistics,1.08708532773445
0946-7076,Microsystem Technologies,0.882241280828437
0947-3580,European Journal of Control,1.14290294441962
0947-3602,Requirements Engineering,2.04651997900843
0948-4280,Journal of Marine Science and Technology,1.44002138744062
0950-0340,Journal of Modern Optics,0.558972197279037
0950-0618,Construction and Building Materials,2.36209935496226
0950-5849,Information and Software Technology,2.2713460818863
0950-7051,Knowledge-Based Systems,2.6112734950373
0951-5666,AI and Society,1.29523107152251
0951-7715,Nonlinearity,1.39628427611681
0951-8320,Reliability Engineering and System Safety,2.46826462686026
0952-1976,Engineering Applications of Artificial Intelligence,2.30071866445707
0952-813X,Journal of Experimental and Theoretical Artificial Intelligence,0.804619517791409
0953-1513,Learned Publishing,1.25087709972176
0953-2048,Superconductor Science and Technology,1.48302840007385
0953-4180,Behavioural Neurology,1.31039654799637
0953-5438,Interacting with Computers,1.0955485300128
0954-0091,Connection Science,1.18956517413933
0954-3899,Journal of Physics G: Nuclear and Particle Physics,0.921590592588632
0954-4100,"Proceedings of the Institution of Mechanical Engineers, Part G: Journal of Aerospace Engineering",0.782505827325419
0954-4119,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",0.882565895815613
0954-4828,Journal of Engineering Design,1.37563739543938
0955-792X,Journal of Logic and Computation,0.886479560984113
0955-7997,Engineering Analysis with Boundary Elements,1.24683620328048
0956-540X,Geophysical Journal International,1.4121260540674
0956-5515,Journal of Intelligent Manufacturing,2.68958665104604
0956-7925,European Journal of Applied Mathematics,0.876791594106077
0956-7968,Journal of Functional Programming,1.13147911246221
0957-0233,Measurement Science and Technology,1.05398932110513
0957-4158,Mechatronics,1.85458608161686
0957-4174,Expert Systems with Applications,2.98459963677331
0957-4484,Nanotechnology,0.732312349818551
0958-2029,Research Evaluation,1.54587701483806
0959-1524,Journal of Process Control,1.60157715429342
0959-4388,Current Opinion in Neurobiology,1.71279132989833
0959-6526,Journal of Cleaner Production,2.44428890580721
0960-0779,"Chaos, Solitons and Fractals",2.28920662784558
0960-0833,Software Testing Verification and Reliability,0.954655770195998
0960-1295,Mathematical Structures in Computer Science,1.20237847719765
0960-1481,Renewable Energy,2.1075787147469
0960-3174,Statistics and Computing,1.63937416702708
0960-9822,Current Biology,2.17089229769524
0961-0006,Journal of Librarianship and Information Science,1.65534348825315
0962-4929,Acta Numerica,7.86534060766276
0962-8436,Philosophical Transactions of the Royal Society B: Biological Sciences,1.83610643170512
0962-8452,Proceedings of the Royal Society B: Biological Sciences,1.73806221973776
0963-0643,Current Opinion in Urology,0.935649520830721
0963-5483,Combinatorics Probability and Computing,1.10893652148644
0963-6412,Security Studies,2.79293205523522
0963-9314,Software Quality Journal,1.1901594767041
0964-1726,Smart Materials and Structures,1.11381243488971
0964-1998,Journal of the Royal Statistical Society. Series A: Statistics in Society,1.71263583614145
0965-0393,Modelling and Simulation in Materials Science and Engineering,0.886757206350915
0965-5425,Computational Mathematics and Mathematical Physics,0.850901121328034
0965-8564,"Transportation Research, Part A: Policy and Practice",2.2252540252142
0965-9978,Advances in Engineering Software,1.76350618735251
0966-6362,Gait and Posture,1.23951819237184
0966-6923,Journal of Transport Geography,2.13228325229584
0966-9760,International Journal of Early Years Education,1.51198902679205
0967-0661,Control Engineering Practice,1.70156529149334
0967-3334,Physiological Measurement,1.22704022006545
0968-090X,Transportation Research Part C: Emerging Technologies,3.28713111280509
0969-6016,International Transactions in Operational Research,1.73165258967583
0969-6997,Journal of Air Transport Management,2.20163151578837
0970-4140,Journal of the Indian Institute of Science,0.654626801184774
0971-3514,Differential Equations and Dynamical Systems,0.924133319843708
0972-8600,AKCE International Journal of Graphs and Combinatorics,1.30386869434907
0973-5348,Mathematical Modelling of Natural Phenomena,1.16278103635813
0975-2293,International Journal of Computer Networks and Communications,0.44248519350807
0988-3754,RAIRO - Theoretical Informatics and Applications,0.671806397819473
0992-499X,Revue d'Intelligence Artificielle,0.54280684942
0997-7538,"European Journal of Mechanics, A/Solids",1.50811456245826
1000-9000,Journal of Computer Science and Technology,0.980025362311634
1004-3756,Journal of Systems Science and Systems Engineering,0.582562459576889
1007-0214,Tsinghua Science and Technology,1.50797458537367
1007-5704,Communications in Nonlinear Science and Numerical Simulation,1.62619603758748
1012-2443,Annals of Mathematics and Artificial Intelligence,0.973774300301745
1016-3328,Computational Complexity,1.51368037353662
1016-443X,Geometric and Functional Analysis,2.43225314856425
1017-0405,Statistica Sinica,1.22331247007306
1017-1398,Numerical Algorithms,1.65694389029954
1017-9909,Journal of Electronic Imaging,0.452412394400286
1018-3639,"Journal of King Saud University, Engineering Sciences",2.19678141734327
1018-4864,Telecommunication Systems,0.906585596023235
1019-6781,Electronic Markets,1.87322757460981
1019-7168,Advances in Computational Mathematics,1.45935203398079
1022-0038,Wireless Networks,0.926729914338495
1022-1824,"Selecta Mathematica, New Series",1.48854583145356
1024-123X,Mathematical Problems in Engineering,0.638334812010192
1040-6190,Electricity Journal,0.787209481926422
1040-7790,"Numerical Heat Transfer, Part B: Fundamentals",0.755671543907642
1041-1135,IEEE Photonics Technology Letters,0.963157152165512
1041-4347,IEEE Transactions on Knowledge and Data Engineering,3.61908067609769
1042-9832,Random Structures and Algorithms,1.28378437426109
1044-7318,International Journal of Human-Computer Interaction,2.04165730779442
1045-389X,Journal of Intelligent Material Systems and Structures,1.02345317334698
1045-9219,IEEE Transactions on Parallel and Distributed Systems,1.70822258810797
1045-9243,IEEE Antennas and Propagation Magazine,1.18092007796436
1045-926X,Journal of Visual Languages and Computing,1.91961173215972
1046-8188,ACM Transactions on Information Systems,2.70685144115263
1047-1987,Political Analysis,5.12164790719894
1047-3203,Journal of Visual Communication and Image Representation,1.13072622756179
1047-3211,Cerebral Cortex,1.43631319109731
1047-8310,Journal of High Technology Management Research,1.39822024209349
1047-8477,Journal of Structural Biology,0.841713367078584
1048-9002,"Journal of Vibration and Acoustics, Transactions of the ASME",0.954729057774568
1049-3301,ACM Transactions on Modeling and Computer Simulation,0.993299236773545
1049-331X,ACM Transactions on Software Engineering and Methodology,2.47228227756974
1049-4820,Interactive Learning Environments,1.76094027615987
1049-8923,International Journal of Robust and Nonlinear Control,1.32968505753397
1050-0472,"Journal of Mechanical Design, Transactions Of the ASME",1.43512889333554
1050-5164,Annals of Applied Probability,1.74396361189941
1051-2004,Digital Signal Processing: A Review Journal,1.38274482006956
1051-8215,IEEE Transactions on Circuits and Systems for Video Technology,1.83852549435208
1051-8223,IEEE Transactions on Applied Superconductivity,0.962049050691403
1052-6234,SIAM Journal on Optimization,2.20852640580117
1053-587X,IEEE Transactions on Signal Processing,2.10889955357642
1053-5888,IEEE Signal Processing Magazine,5.33878221763871
1053-8119,NeuroImage,2.09911800508847
1054-1500,Chaos,1.20930429909107
1054-6618,Pattern Recognition and Image Analysis,0.827974202556811
1054-7460,Presence: Teleoperators and Virtual Environments,0.963767498180003
1055-6788,Optimization Methods and Software,1.28930335263017
1055-7148,International Journal of Network Management,0.66395004454117
1057-7149,IEEE Transactions on Image Processing,3.13104591350748
1057-7408,Journal of Consumer Psychology,2.02753646393374
1058-6458,Experimental Mathematics,0.752063213950723
1059-7123,Adaptive Behavior,1.10958211210058
1059-910X,Microscopy Research and Technique,1.09136934628708
1060-0396,Cybernetics and Systems Analysis,0.919249042032283
1061-3773,Computer Applications in Engineering Education,1.27968935685971
1061-8562,International Journal of Computational Fluid Dynamics,0.682455250996518
1061-8600,Journal of Computational and Graphical Statistics,1.78536935472312
1062-7995,Progress in Photovoltaics: Research and Applications,2.15240557607392
1063-4584,Osteoarthritis and Cartilage,2.20323014870495
1063-5157,Systematic Biology,5.25738382560638
1063-5203,Applied and Computational Harmonic Analysis,2.0800570863628
1063-6536,IEEE Transactions on Control Systems Technology,2.18223400342602
1063-6560,Evolutionary Computation,1.80094456333306
1063-6692,IEEE/ACM Transactions on Networking,1.7971495752555
1063-6706,IEEE Transactions on Fuzzy Systems,3.14295988636636
1063-7710,Acoustical Physics,1.22849319497691
1063-8210,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,1.47434778915335
1063-8539,Journal of Combinatorial Designs,1.16335234938036
1064-1246,Journal of Intelligent and Fuzzy Systems,0.698146353079959
1064-2269,Journal of Communications Technology and Electronics,0.689651443153619
1064-5462,Artificial Life,0.670245661393634
1064-5632,Izvestiya Mathematics,0.902879656423593
1064-7570,Journal of Network and Systems Management,0.875811818581473
1064-8275,SIAM Journal of Scientific Computing,1.6036950844085
1065-9471,Human Brain Mapping,1.55118837237044
1066-033X,IEEE Control Systems,2.67288094720408
1066-2243,Internet Research,2.18643105557541
1066-8888,VLDB Journal,2.7687715124617
1067-5027,Journal of the American Medical Informatics Association : JAMIA,2.62757982416962
1068-9605,International Journal of Wireless Information Networks,0.868556741477199
1068-9613,Electronic Transactions on Numerical Analysis,0.842535322208302
1069-5869,Journal of Fourier Analysis and Applications,1.36595462418358
1070-5325,Numerical Linear Algebra with Applications,1.34276326879628
1070-6631,Physics of Fluids,1.67554734174186
1070-986X,IEEE Multimedia,1.6023542532589
1070-9908,IEEE Signal Processing Letters,1.37961001128145
1070-9932,IEEE Robotics and Automation Magazine,2.24942777986712
1071-2836,Journal of Russian Laser Research,0.509212231654048
1071-5797,Finite Fields and Their Applications,1.42789480524712
1071-5819,International Journal of Human Computer Studies,2.41417861528302
1072-5520,Interactions,1.15199255026913
1072-8325,Journal of Women and Minorities in Science and Engineering,0.999535046500416
1073-0516,ACM Transactions on Computer-Human Interaction,2.67504012118072
1073-7928,International Mathematics Research Notices,1.44405974583674
1074-5351,International Journal of Communication Systems,0.762402228309076
1076-0342,Journal of Infrastructure Systems,1.26379650999292
1076-2787,Complexity,0.765906426310233
1076-9757,Journal of Artificial Intelligence Research,2.92140672076331
1077-260X,IEEE Journal of Selected Topics in Quantum Electronics,1.4109479438841
1077-2626,IEEE Transactions on Visualization and Computer Graphics,2.43065812095509
1077-3142,Computer Vision and Image Understanding,1.92786792999306
1077-5463,JVC/Journal of Vibration and Control,1.38150994040829
1077-6990,Journalism and Mass Communication Quarterly,2.03588058400774
1077-8926,Electronic Journal of Combinatorics,1.08728752275815
1078-8174,Radiography,1.26558957203149
1078-8956,Nature Medicine,12.1666343510583
1079-8587,Intelligent Automation and Soft Computing,0.945659745935246
1079-8986,Bulletin of Symbolic Logic,1.76260925336421
1081-3810,Electronic Journal of Linear Algebra,1.02039333277175
1083-3668,Journal of Biomedical Optics,1.33717805374865
1083-4435,IEEE/ASME Transactions on Mechatronics,2.16776124465005
1083-589X,Electronic Communications in Probability,0.656722151919425
1083-6101,Journal of Computer-Mediated Communication,4.25857867164282
1083-6489,Electronic Journal of Probability,1.12013280133425
1084-4309,ACM Transactions on Design Automation of Electronic Systems,0.777208748706656
1084-6654,Journal of Experimental Algorithmics,1.41360838993825
1084-7529,"Journal of the Optical Society of America A: Optics and Image Science, and Vision",1.14102463425154
1084-8045,Journal of Network and Computer Applications,2.5122349992265
1086-9379,Meteoritics and Planetary Science,0.833277121499319
1088-467X,Intelligent Data Analysis,0.531818105202484
1089-778X,IEEE Transactions on Evolutionary Computation,5.61740560181218
1089-7798,IEEE Communications Letters,1.35669874340005
1089-7801,IEEE Internet Computing,1.3886410668128
1090-8471,Human Factors and Ergonomics In Manufacturing,0.873095059704551
1091-9856,INFORMS Journal on Computing,1.82285398451667
1093-3263,Journal of Molecular Graphics and Modelling,0.751013812336025
1093-9687,Computer-Aided Civil and Infrastructure Engineering,3.18694428033175
1094-3420,International Journal of High Performance Computing Applications,1.07969972189695
1094-4087,Optics Express,1.48394249836811
1094-6136,Journal of Scheduling,1.66140143471927
1094-6969,IEEE Instrumentation and Measurement Magazine,0.683691475813078
1095-4244,Wind Energy,1.34801818138625
1097-6256,Nature Neuroscience,5.22623955589254
1098-1241,Systems Engineering,1.14717152036691
1098-3058,Information Technology and Tourism,1.62550490344423
1099-4300,Entropy,1.08419364199862
1109-2858,Operational Research,1.32362355190269
1110-0168,AEJ - Alexandria Engineering Journal,2.10218156881983
1110-757X,Journal of Applied Mathematics,1.04196153620423
1110-8665,Egyptian Informatics Journal,2.53153820217211
1120-2890,Economia Politica,0.757506126497398
1120-6330,"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Fisiche, Matematiche e Naturali, Rendiconti Lincei Matematica E Applicazioni",0.935310204738232
1122-1151,Axiomathes,0.691323197634842
1134-3060,Archives of Computational Methods in Engineering,3.25273756984774
1134-5764,TOP,1.77117405063841
1187-7863,Journal of Agricultural and Environmental Ethics,1.14276660800891
1206-212X,International Journal of Computers and Applications,0.677458047886949
1210-0552,Neural Network World,0.625389090878003
1213-6972,Journal of WSCG,0.244403213752328
1225-6463,ETRI Journal,0.759907644996457
1226-7988,KSCE Journal of Civil Engineering,1.02750267733135
1229-2370,Journal of Communications and Networks,0.959059591541842
1230-1612,Open Systems and Information Dynamics,0.413247539685442
1230-3402,Opto-electronics Review,0.970543788227565
1233-1821,Foundations of Science,1.06841729538439
1234-2238,Psychology of Language and Communication,0.754597369322503
1234-3099,Discussiones Mathematicae - Graph Theory,1.15664327275746
1270-9638,Aerospace Science and Technology,2.04078636712152
1281-2463,Philosophia Scientiae,0.36997858299514
1286-0042,EPJ Applied Physics,0.407561708629234
1290-0729,International Journal of Thermal Sciences,1.71367616798182
1292-8100,ESAIM - Probability and Statistics,0.712568143754946
1292-8119,"ESAIM - Control, Optimisation and Calculus of Variations",1.09745402772465
1300-0098,Turkish Journal of Mathematics,0.995929050042173
1300-0632,Turkish Journal of Electrical Engineering and Computer Sciences,0.532135703129232
1311-0454,Fractional Calculus and Applied Analysis,1.92403568560147
1314-3247,"Geometry, Integrability and Quantization",0.574388178735772
1319-1578,Journal of King Saud University - Computer and Information Sciences,2.04559425004352
1330-3651,Tehnicki Vjesnik,0.493146272155811
1346-0714,Transactions of the Japanese Society for Artificial Intelligence,0.101202469829605
1350-4533,Medical Engineering and Physics,1.09114657883504
1350-6307,Engineering Failure Analysis,1.71103986821434
1350-7265,Bernoulli,1.57041172491972
1351-3249,Natural Language Engineering,1.1668529516619
1353-3452,Science and Engineering Ethics,1.99426685372311
1354-0688,Party Politics,1.98469915976653
1355-2546,Rapid Prototyping Journal,1.19274768141537
1359-4184,Molecular Psychiatry,3.48405578188602
1359-4338,Virtual Reality,2.63291883332119
1359-6454,Acta Materialia,2.68985733878944
1359-835X,Composites - Part A: Applied Science and Manufacturing,2.03278761979036
1359-8368,Composites Part B: Engineering,2.51060547262894
1361-1682,Transactions in GIS,1.1584901844122
1361-4533,New Review of Academic Librarianship,0.784597528779768
1361-4568,New Review of Hypermedia and Multimedia,0.581402382103
1361-8415,Medical Image Analysis,4.04238864827514
1364-0321,Renewable and Sustainable Energy Reviews,4.53461896800305
1364-5021,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",1.29276296125244
1364-503X,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",1.43988871965353
1364-8152,Environmental Modelling and Software,1.78018474732485
1365-8816,International Journal of Geographical Information Science,1.75329767138551
1367-0751,Logic Journal of the IGPL,1.19580935205037
1367-4803,Bioinformatics,2.27242956135578
1367-5788,Annual Reviews in Control,4.45404367299308
1368-2148,International Journal of Manufacturing Technology and Management,0.23705438386006
1368-2199,Imaging Science Journal,0.466946829576092
1368-4221,Econometrics Journal,2.93916269807704
1369-7412,Journal of the Royal Statistical Society. Series B: Statistical Methodology,3.94068757982898
1370-4621,Neural Processing Letters,0.800079202671875
1380-7501,Multimedia Tools and Applications,1.05491068121581
1381-1231,Journal of Heuristics,0.922094232519769
1381-2416,International Journal of Speech Technology,0.988632460417007
1381-298X,Computational and Mathematical Organization Theory,1.34436449616361
1382-3256,Empirical Software Engineering,2.45806360719347
1382-6905,Journal of Combinatorial Optimization,0.992754860282237
1383-469X,Mobile Networks and Applications,1.36960248849192
1383-7133,Constraints,1.38562321086164
1383-7621,Journal of Systems Architecture,1.84526594013318
1384-1076,New Astronomy,0.780854045959649
1384-5640,Multibody System Dynamics,1.88006333785924
1384-5810,Data Mining and Knowledge Discovery,2.52991893846395
1384-6175,GeoInformatica,1.33719273261993
1385-0172,Mathematical Physics Analysis and Geometry,0.847969634183441
1386-4564,Information Retrieval,1.62003455335494
1386-7857,Cluster Computing,1.00185124441159
1386-9477,Physica E: Low-Dimensional Systems and Nanostructures,0.842135322258939
1386-9620,Health Care Management Science,1.4805951153753
1387-1307,Journal of Clinical Monitoring and Computing,1.0370115392251
1387-2532,Autonomous Agents and Multi-Agent Systems,1.6376686875499
1387-3326,Information Systems Frontiers,2.30836766843706
1387-5841,Methodology and Computing in Applied Probability,1.0376367364574
1387-974X,Photonic Network Communications,0.905175418095544
1389-0417,Cognitive Systems Research,1.76029182590491
1389-1286,Computer Networks,1.8033452220027
1389-2576,Genetic Programming and Evolvable Machines,1.03579032280557
1389-4420,Optimization and Engineering,1.43168682398714
1392-5113,Nonlinear Analysis: Modelling and Control,1.11156876342172
1392-6292,Mathematical Modelling and Analysis,1.0949496741463
1420-0597,Computational Geosciences,1.23825930150033
1422-6383,Results in Mathematics,1.32077189314287
1422-6928,Journal of Mathematical Fluid Mechanics,1.34926134393167
1424-0637,Annales Henri Poincare,1.05405273973018
1424-8247,Pharmaceuticals,1.22313415665368
1431-7613,Theory in Biosciences,0.872500212804322
1431-9276,Microscopy and Microanalysis,0.455353438018411
1432-4350,Theory of Computing Systems,1.00354260199793
1432-5012,International Journal on Digital Libraries,1.10367279170658
1432-7643,Soft Computing,1.37939745388077
1432-9360,Computing and Visualization in Science,1.56703102774979
1433-2779,International Journal on Software Tools for Technology Transfer,1.15101557161806
1433-2833,International Journal on Document Analysis and Recognition,2.08679371331728
1433-7541,Pattern Analysis and Applications,1.02969315226435
1434-6028,European Physical Journal B,0.543972813767411
1434-6044,European Physical Journal C,1.27761048272467
1434-6060,European Physical Journal D,0.64242928785712
1434-8411,AEU - International Journal of Electronics and Communications,1.34880256558561
1435-5558,"Cognition, Technology and Work",1.25225567513946
1435-9855,Journal of the European Mathematical Society,2.7304571711686
1439-4235,ChemPhysChem,0.77683826915907
1446-7887,Journal of the Australian Mathematical Society,1.02484435490089
1460-4582,Health Informatics Journal,1.1311630350861
1460-7425,JASSS,2.05119646287891
1461-4448,New Media and Society,4.28197893533429
1462-2416,Pharmacogenomics,0.635125267181911
1463-5003,Ocean Modelling,1.44606945743438
